style_id,style_label,original_style_url,enhanced_style_url,primary_color,secondary_color,accent_color,style_category,pattern,finish,length,shape,complexity,season,occasion,target_persona,price_band,trend_keywords,operator_notes,label_status
11,official_style_11,http://p0.meituan.net/pilotimages/b6491d47c001ca175fa04e5243f84aa5896438.png,http://p0.meituan.net/pilotimages/bc153edf655dd6961dc9f8e95ad8cd1e2561531.png,nude,white,silver,elegant,mixed,glossy,long,almond,high,all-season,wedding,bridal-user,premium,"pearl, bridal, reflective","Pearly finish with reflective decoration; suitable for event-oriented upsell.",draft
12,official_style_12,http://p1.meituan.net/pilotimages/d571f8a5702261542c115c247d210bfd1180529.png,http://p0.meituan.net/pilotimages/43cc4ced977a3dd271f60ee2f05607772681747.png,black,green,gold,cool-girl,mixed,glossy,long,stiletto,high,all-season,party,fashion-lover,premium,"black, green, luxe","Dark botanical vibe; useful for edgy/high-fashion segmentation.",draft
13,official_style_13,http://p0.meituan.net/pilotimages/5fa531643ac8f829d8ab574b4c11e0081087649.png,http://p0.meituan.net/pilotimages/682c173ae3a95d0b838655e8337b30d72213857.png,pink,white,silver,elegant,line-art,glossy,long,almond,medium,all-season,wedding,young-professional,mid,"pink-nude, line, elegant","Balanced premium daily style with soft sparkle.",draft
14,official_style_14,http://p0.meituan.net/pilotimages/b99490b3f4a5e088ffe36c6ae60211941005960.png,http://p1.meituan.net/pilotimages/eecfba4ab276e895b579a79491b2d0211982788.png,white,nude,none,elegant,gradient,glossy,long,almond,medium,all-season,wedding,bridal-user,premium,"milky-white, clean, bridal","Very safe polished style for bridal and premium daily users.",draft
15,official_style_15,http://p0.meituan.net/pilotimages/5c66d21b6fc2b78c59f3f2e36fc788451052442.png,http://p0.meituan.net/pilotimages/1248ad42d355b98257e5fbcdf90efc552138079.png,pink,red,blue,sweet,mixed,glossy,short,round,high,summer,festival,student,mid,"cute, charm, colorful","Playful charm-driven set with obvious youth appeal.",draft
16,official_style_16,http://p0.meituan.net/pilotimages/81a8b3a96d3dd6ba1c849cc666bf85f51089012.png,http://p0.meituan.net/pilotimages/137aad1f6a36655ae395cf7dc57604642782680.png,pink,red,gold,sweet,mixed,glossy,short,round,high,spring,festival,trend-follower,mid,"floral, pink, festive","Decorative flower-forward short style for gift or holiday merchandising.",draft
17,official_style_17,http://p0.meituan.net/pilotimages/ff68ba22d655fd1e0a812f197e406d951137747.png,http://p0.meituan.net/pilotimages/ec437f6291295904c2f894edb8c01cb82131722.png,white,silver,transparent,luxury,mixed,glossy,long,square,high,all-season,wedding,bridal-user,premium,"transparent, crystal, bridal","Long transparent-crystal look with strong premium perception.",draft
18,official_style_18,http://p1.meituan.net/pilotimages/29c85d420f45062d29890f4ae014b82f960529.png,http://p0.meituan.net/pilotimages/5591229138c4e7e1d183b59be442d9dc2267735.png,nude,red,blue,sweet,mixed,glossy,short,round,high,summer,festival,student,mid,"cartoon, colorful, cute","Youth-oriented mixed art style for content-driven promotions.",draft
19,official_style_19,http://p0.meituan.net/pilotimages/b6a8da8cb0d46f30ec2c65b79c3710e91040053.png,http://p0.meituan.net/pilotimages/5fad21e6d38656170bf726ff3973a4501918338.png,nude,gold,white,luxury,mixed,glossy,long,almond,high,all-season,wedding,luxury-seeker,premium,"champagne, crystal, luxe","Bright crystal-heavy style; suited for high-price bundles.",draft
20,official_style_20,http://p0.meituan.net/pilotimages/7f3d1832f40e03685a0e413e6196efcd1139460.png,http://p1.meituan.net/pilotimages/d5eedc75b0021f79381962fc145b0bc62301165.png,nude,silver,white,luxury,mixed,glossy,long,almond,high,all-season,party,luxury-seeker,premium,"chrome, crystal, silver","Mirror and crystal details create high visual premium value.",draft
21,official_style_21,http://p0.meituan.net/pilotimages/fe1824a01b10a0fee24a8aaa5b1ef1991009918.png,http://p0.meituan.net/pilotimages/f4b69d45af5d3b496adbd9d21e768a8e2195181.png,blue,gold,nude,cool-girl,mixed,glossy,short,oval,medium,summer,daily,trend-follower,mid,"blue, playful, accent","Short cool-toned style suitable for experimental daily users.",draft
22,official_style_22,http://p0.meituan.net/pilotimages/1e86c987caf89d5b15a226ad097e270b963164.png,http://p0.meituan.net/pilotimages/5b985a1c661ae2e964286178e6c0b0f92258113.png,red,silver,none,luxury,solid,glossy,medium,almond,medium,all-season,party,fashion-lover,premium,"red-glitter, evening, shiny","Compact glitter-red look with strong festive conversion potential.",draft
23,official_style_23,http://p0.meituan.net/pilotimages/ec8057452f9520a0ca5cdba3f78f6f80982638.png,http://p1.meituan.net/pilotimages/bf8657d94693fb0fe1da3f7729d5667d2020119.png,nude,white,silver,elegant,gradient,glossy,medium,almond,medium,all-season,dating,young-professional,mid,"nude, pearly, soft","Soft pearly nude style for broad daily and date scenarios.",draft
24,official_style_24,http://p1.meituan.net/pilotimages/1fb5e1b20aea0b0881a4eb5d41bff80b1076304.png,http://p0.meituan.net/pilotimages/e80e1d25e48d7ef5c505b29ee8e331822641412.png,blue,pink,silver,luxury,mixed,glossy,medium,oval,high,all-season,party,fashion-lover,premium,"mirror, blue, jewel","Statement mixed style with strong display value and premium feel.",draft
25,official_style_25,http://p0.meituan.net/pilotimages/0d9545bd4583f87e8cc3882d15ff84101211916.png,http://p1.meituan.net/pilotimages/73ee568aa09547d8bfc0168113ac9ebc2712329.png,red,white,none,sweet,mixed,glossy,short,round,medium,all-season,dating,student,mid,"red, heart, cute","Cute red short style suitable for dating and seasonal gift promos.",draft
